stage_pos,mode_q,pol,pole_real_n,pole_real_s,pole_imag_n,pole_imag_s,residue_real_n,residue_real_s,residue_imag_n,residue_imag_s
-1.5,22,y,-3405.5714491462977,22.458420071176317,466103647801.6771,22.458419596737333,-0.6786841845278347,0.005170229533281822,0.7230661912205237,0.005170217925997281
-1.5,23,x,-4248.052975826071,47.85821304043709,486799984193.9976,47.85823058406638,1.3836754544336047,0.015566908029581971,0.9891722125029975,0.015566913232275173
-1.5,23,y,-6808.87881374747,124.23265069561397,486803438973.0264,124.23269200952811,0.7047803388092291,0.018416775130695118,0.8280189842913033,0.018416822880762847
-1.5,24,x,-2864.5926713020713,27.976342222348947,507499736813.6343,27.976342198707574,-0.6478694845070004,0.008120704229988772,-0.8211901249051013,0.008120704668102687
-1.5,24,y,-5531.427621168782,99.64137889669381,507503048641.1498,99.64157274004779,-0.6579575039335748,0.01492847414625869,-0.7252119819061795,0.014928450092031026
-1.5,25,x,-4193.7555474654455,57.68538845457955,528199318868.00995,57.68539915500499,-0.7063280908533652,0.00835084861757224,0.24786406621264964,0.00835085279866188
-1.5,25,y,-8689.22368116138,210.46953257488744,528202500830.476,210.46961293191427,-0.7012585863044147,0.015877226795549797,0.03569976791727038,0.015877240244902748
-1.5,26,x,-11585.143236543656,342.38748903085786,548898746532.17786,342.38748259466377,-1.3460862421602007,0.04944536254841125,0.7062455774752475,0.049445365099032856
-1.5,26,y,-4717.825943024321,148.1536553663481,548901810952.96826,152.78925036156247,-0.3799314407012273,0.018336028316104248,0.6356279968643789,0.01845416578198733
-1.5,27,x,-4013.1409950624607,133.92087188861413,569598048518.2764,133.92086710468482,0.20360394714031815,0.012930853994696906,-0.47095449418216084,0.012930854594182813
-1.5,27,y,-7004.10042013651,254.71667648042518,569600996895.2083,254.71667420209639,0.1078369561194138,0.012967361060423569,-0.41798692662851034,0.012967361373244361
-1.5,28,x,-24167.79151214927,821.3556402741843,590297237134.1644,821.3556358030407,1.8710979414210738,0.09641050711879913,-1.5749491821114707,0.09641051116673534
-1.5,28,y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.5,29,x,-10292.499576792521,416.2281413702125,610996295942.8635,416.2274487074498,0.045215142567154275,0.014008800854912162,-0.3258901272296574,0.014008782459550959
-1.5,29,y,-13666.240709343961,967.1177952385931,610999088525.5906,967.1178005330038,-0.262275766968564,0.01994376089309894,-0.018859188860490924,0.01994375985649678
-1.5,30,x,-243536.4357143709,2120063.519407691,631694849438.3049,5640455.169061476,935.8527199474477,51322.16016013207,-844.1389135371395,24378.538885788217
-1.5,30,y,-480.22566791730395,1557.2327519409812,631697981756.7699,1044.4446923296703,-0.2732016675171293,0.0617274487637473,-0.018257136214201105,0.1108215750047507
-1.5,31,x,-58419.507750748344,4382.141272003787,652394123785.2094,11136.082719855625,-4.258230227909869,0.984297204177857,-1.900850465152801,2.6501188320725437
-1.5,31,y,-1947.1365279010922,107201.59151099752,652396917946.6119,341749.07520307373,-44.92451828972469,345.51665097691426,-0.32686559709006235,109.55886400687191
-1.5,32,x,-195.96249504773675,88194.34393120285,673093088539.6185,36812.98502638882,-11.41074659197471,50.12664153088085,-8.178726587384539,38.722835914245614
-1.5,32,y,-7665.765580034717,1058.7799936876963,673095451301.7235,1174.1595703704045,0.36204173368631026,0.05866190311273291,0.09428895639225654,0.06398922447805035
-1.5,33,x,-41438.72792510033,3840.4974722683137,693791755122.0294,3840.497974347705,0.40268054031736356,0.317298976983493,-1.6194508528674667,0.31729924804543613
-1.5,33,y,-154.5239161578688,42.73883901365952,693794159014.42,42.73883880392644,0.00015692556600944185,0.0008438776270684257,-0.004279512624873007,0.000843877615792663
-1.5,34,x,-22.466503159657947,26.604361114092768,714490463523.77,26.604361214803408,0.00023917558245571165,0.00020700623484887424,-6.76903010263178e-05,0.00020700623583263728
-1.5,34,y,-273493.02784743335,279860.3534340226,714492964669.3928,279858.92487206205,34.572147657606976,240.2877909578361,-90.2234706160636,240.28904656710546
-0.75,20,x,-8484.201120573387,129.40850198138523,424699450300.4451,124.06507760163652,-0.18287720367786867,0.05844506908427053,-4.869269671192304,0.06393190498287911
-0.75,20,y,-6564.394402533113,118.93899281371581,424703417366.88837,118.93888325118273,0.9344113627816009,0.045854303473488865,-3.075895632254807,0.04585440905373631
-0.75,21,x,-4070.103516957322,8.65486278969166,445399872330.2384,8.998793501355832,4.760767076793568,0.022650696798769097,10.763843485821385,0.020007337955997597
-0.75,21,y,-3847.493408036358,11.364147895363024,445403652812.87195,12.035535337351531,1.7495261204465027,0.015107089729669506,5.383912801326807,0.013514087547772906
-0.75,22,x,-13391.977392320494,311.79221106743944,466100037785.3394,392.839755915145,-12.388693454490701,0.33670766677805464,2.168827589306941,0.5228614180333319
